left,right,match,match_confidence,gold,left_id,right_id,source
COL make VAL GULFSTREAM COL model VAL GV COL cert VAL A12EA,COL mfr VAL GULFSTREAM AEROSPACE COL model VAL GIV-X,0,0.7068684127607179,1,GULFSTREAM GV,GV-SP,reg
COL make VAL CHAMPION COL model VAL 7KC COL name VAL CITABRIA COL cert VAL A-759,COL mfr VAL CHAMPION COL model VAL 7GCAA,1,0.4731922106884173,0,CHAMPION 7KC,CHAMP-7-GCAA,reg
COL make VAL MONOCOUPE COL model VAL 90AL COL name VAL 90-115 COL cert VAL A-306,COL mfr VAL MONOCOUPE COL model VAL 90,1,0.4321296062691953,0,MONOCOUPE 90AL,MONOCP-90,reg
COL make VAL WACO COL model VAL INF COL cert VAL ATC 345,COL mfr VAL WACO COL model VAL KNF,1,0.45865303897979737,0,WACO INF,WACO-KNF-KNF,reg
COL make VAL DIAMOND COL model VAL DV20 COL name VAL KATANA COL cert VAL EASA.A.439,COL mfr VAL DIAMOND COL model VAL DA-40 Katana COL code VAL DA40,1,0.9998756197222877,0,DIAMOND DV20,DA40 DA-40 Katana,doc8643_description
COL make VAL WACO COL model VAL UEC COL cert VAL ATC 467,COL mfr VAL WACO COL model VAL UIC,1,0.6052413933819975,0,WACO UEC,WACO-U-IC,reg
COL make VAL AEROMOT COL model VAL AMT200 COL name VAL SUPER XIMANGO COL cert VAL EP-8602,COL mfr VAL BLUCHER JOSEPH T COL model VAL CESSNA 305 L19,0,0.9040251005970011,1,AEROMOT AMT200,AMT-200-200,reg
COL make VAL STEARMAN COL model VAL A75 COL name VAL KAYDET COL cert VAL A-743,COL mfr VAL BOEING COL model VAL PT-13,1,0.432490655969167,0,STEARMAN A75,B-75-PT13,reg
COL make VAL BOMBARDIER COL model VAL BD700 COL name VAL GLOBAL EXPRESS COL cert VAL A-177,COL mfr VAL BOMBARDIER INC COL model VAL BD-700-1A10,1,0.46600763161883335,0,BOMBARDIER BD700,BD-500-1A11,reg
COL make VAL DART COL model VAL DART GW COL cert VAL TC 674,COL mfr VAL DART COL model VAL G,0,0.758465156077773,1,DART DART GW,DRTG G,doc8643_description
COL make VAL SIKORSKY COL model VAL S55 COL name VAL CHICKASAW COL cert VAL 1H4,COL mfr VAL SIKORSKY COL model VAL CH-19,1,0.7181071210567161,0,SIKORSKY S55,H-19-CH19,reg
COL make VAL WEATHERLY COL model VAL 201 COL cert VAL A10WE,COL mfr VAL WEATHERLY COL model VAL 620,0,0.6610739076087078,1,WEATHERLY 201,W201 620,doc8643_description
COL make VAL CALLAIR COL model VAL A2 COL cert VAL A-758,COL mfr VAL CALLAIR COL model VAL A-3,1,0.761858011660175,0,CALLAIR A2,CALAIR-A-3,reg
COL make VAL BOMBARDIER COL model VAL BD500 COL name VAL CS300 CS100 COL cert VAL A-236,COL mfr VAL BOMBARDIER INC COL model VAL BD-700-1A10,1,0.4506105204451354,0,BOMBARDIER BD500,CL-700-1A10,reg
COL make VAL SIKORSKY COL model VAL H19 COL name VAL CHICKASAW COL cert VAL HR1SO,COL mfr VAL SIKORSKY COL model VAL S-55C,1,0.52923371715666,0,SIKORSKY H19,SK-55-C,reg
COL make VAL MAULE COL model VAL MXT7 COL name VAL STAR ROCKET COL cert VAL 3A23,COL mfr VAL MAULE COL model VAL MX-7-180,1,0.48574229278446074,0,MAULE MXT7,MX-7-180,reg
COL make VAL DART COL model VAL DART G COL cert VAL TC 674,COL mfr VAL DART COL model VAL GW,1,0.3598094990537062,0,DART DART G,DART-G-W,reg
COL make VAL MONOCOUPE COL model VAL 90AF COL cert VAL A-306,COL mfr VAL MONOCOUPE COL model VAL 90,1,0.35473916744683054,0,MONOCOUPE 90AF,MONOCP-90,reg
COL make VAL CANADAIR COL model VAL CL215 6B11 COL name VAL SCOOPER COL cert VAL A-86,COL mfr VAL CANADAIR COL model VAL CL215 1A10,0,0.672883678495459,1,CANADAIR CL215 6B11,CL-215-6B11,reg
COL make VAL DART COL model VAL DART GC COL cert VAL TC 674,COL mfr VAL DART COL model VAL G,0,0.8769567531972619,1,DART DART GC,DRTG G,doc8643_description
COL make VAL WACO COL model VAL EQC COL cert VAL ATC 597,COL mfr VAL WACO COL model VAL YKC,1,0.7212943096498594,0,WACO EQC,WACO-YK-C,reg
