left,right,match,match_confidence,gold,left_id,right_id,source,left_kv,right_kv,left_count,right_kv_distinct
COL make VAL AER PEGASO COL model VAL M100 COL cert VAL NOT CERTIFICATED,COL mfr VAL AER-PEGASO COL model VAL M-100S,1,0.9999547029779731,1,AER PEGASO M100,AERPEG-M100S-M100S,reg,"['make: AER PEGASO', 'model: M100', 'cert: NOT CERTIFICATED']","['mfr: AER-PEGASO', 'model: M-100S']",3,3
COL make VAL AER PEGASO COL model VAL M100 COL cert VAL NOT CERTIFICATED,COL make VAL AERPEG COL model VAL M100S COL series VAL M100S COL cert VAL G6EU,1,0.9750386474385853,1,AER PEGASO M100,AERPEG-M100S-M100S,faa,"['make: AER PEGASO', 'model: M100', 'cert: NOT CERTIFICATED']","['make: AERPEG', 'model: M100S', 'series: M100S', 'cert: G6EU']",3,3
COL make VAL AER PEGASO COL model VAL M100 COL cert VAL NOT CERTIFICATED,COL make VAL AER PEGASO COL model VAL M100 COL series VAL S COL cert VAL NOT CERTIFICATED,1,0.9999644964533554,1,AER PEGASO M100,25,cictt,"['make: AER PEGASO', 'model: M100', 'cert: NOT CERTIFICATED']","['make: AER PEGASO', 'model: M100', 'series: S', 'cert: NOT CERTIFICATED']",3,3
COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA TROJAN COL cert VAL NOT IDENTIFIED,COL mfr VAL MACCHI COL model VAL AL 60,1,0.9999877861841207,1,AERMACCHI AL60,AL-60-60,reg,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA TROJAN', 'cert: NOT IDENTIFIED']","['mfr: MACCHI', 'model: AL 60']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL AERMACCHI COL model VAL AL-60 Loadmaster,1,0.9999908831422709,1,AERMACCHI AL60,LA60 AL-60 Loadmaster,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: AERMACCHI', 'model: AL-60 Loadmaster']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL AERMACCHI COL model VAL AL-60 Trojan,1,0.999991974470388,1,AERMACCHI AL60,LA60 AL-60 Trojan,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: AERMACCHI', 'model: AL-60 Trojan']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL AERMACCHI COL model VAL AL-60 Conestoga,1,0.9999891614469315,1,AERMACCHI AL60,LA60 AL-60 Conestoga,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: AERMACCHI', 'model: AL-60 Conestoga']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL LOCKHEED COL model VAL LASA-60,1,0.9999538377980034,1,AERMACCHI AL60,LA60 LASA-60,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: LOCKHEED', 'model: LASA-60']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL AERMACCHI COL model VAL AL-60 COL code VAL LA60,1,0.9999916747442538,1,AERMACCHI AL60,LA60 AL-60,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: AERMACCHI', 'model: AL-60', 'code: LA60']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL AERMACCHI COL model VAL AL-60 Trojan COL code VAL LA60,1,0.9999920024950424,1,AERMACCHI AL60,LA60 AL-60 Trojan,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: AERMACCHI', 'model: AL-60 Trojan', 'code: LA60']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL MACCHI COL model VAL AL-60 COL code VAL LA60,1,0.9999861994362617,1,AERMACCHI AL60,LA60 AL-60,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: MACCHI', 'model: AL-60', 'code: LA60']",23,23
COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA TROJAN COL cert VAL NOT IDENTIFIED,COL make VAL AL COL model VAL 60 COL series VAL F5 COL cert VAL 7A12,1,0.9999289645109507,1,AERMACCHI AL60,AL-60-F5,faa,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA TROJAN', 'cert: NOT IDENTIFIED']","['make: AL', 'model: 60', 'series: F5', 'cert: 7A12']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL LOCKHEED-AZCARATE COL model VAL LASA-60 Santa Maria,1,0.9999910004514266,1,AERMACCHI AL60,LA60 LASA-60 Santa Maria,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: LOCKHEED-AZCARATE', 'model: LASA-60 Santa Maria']",23,23
