left_id,right_id,left,right,label
2660,B-767-258,COL cictt_make VAL BOEING COL cictt_model VAL 757 COL cictt_series VAL 258 COL cictt_name VAL No Popular Name COL cictt_cert VAL A2NM,COL make VAL B COL model VAL 767 COL series VAL 258 COL cert VAL A1NM,0
7103,DC-3-C47B,COL cictt_make VAL NAVION COL cictt_model VAL NAVION COL cictt_series VAL B COL cictt_name VAL No Popular Name COL cictt_cert VAL A-782,COL make VAL DC COL model VAL 3 COL series VAL C47B COL cert VAL A669,0
1288,632,COL cictt_make VAL BEECH COL cictt_model VAL 65 COL cictt_series VAL A65 8200 COL cictt_name VAL QUEEN AIR COL cictt_cert VAL 3A20,COL make VAL B COL model VAL 707 COL series VAL 321B COL cert VAL 4A26,0
8782,IA-1121-B,COL cictt_make VAL STINSON COL cictt_model VAL SR9 COL cictt_series VAL B COL cictt_name VAL RELIANT COL cictt_cert VAL ATC 621,COL make VAL IA COL model VAL 1121 COL series VAL B COL cert VAL A2SW,0
2713,1088,COL cictt_make VAL BOEING COL cictt_model VAL 767 COL cictt_series VAL 238 COL cictt_name VAL No Popular Name COL cictt_cert VAL A1NM,COL make VAL B COL model VAL 767 COL series VAL 238 COL cert VAL A1NM,1
22181,BE-200-C12C,COL cictt_make VAL STINSON COL cictt_model VAL SR10 COL cictt_series VAL C COL cictt_name VAL RELIANT COL cictt_cert VAL TC 678,COL make VAL BE COL model VAL 200 COL series VAL C12C COL name VAL SUPER KING AIR COL cert VAL A24CE,0
3732,BL-149-149,COL cictt_make VAL CESSNA COL cictt_model VAL 185 COL cictt_series VAL UNDESIGNATED SERIES COL cictt_name VAL SKYWAGON COL cictt_cert VAL 3A24,COL make VAL BL COL model VAL 149 COL series VAL 149 COL cert VAL 716,0
9500,1499,COL cictt_make VAL WACO COL cictt_model VAL EGC COL cictt_series VAL 8 COL cictt_name VAL No Popular Name COL cictt_cert VAL TC 665,COL make VAL CE COL model VAL 210 COL series VAL P210R COL name VAL PRESSURIZED CENTURIO COL cert VAL 3A21,0
7919,2683,COL cictt_make VAL HAWKER COL cictt_model VAL HAWKER 800 COL cictt_series VAL XP COL cictt_name VAL No Popular Name COL cictt_cert VAL A3EU,COL make VAL HS COL model VAL 125 COL series VAL 800XP COL cert VAL A3EU,1
8748,2923,COL cictt_make VAL STEARMAN COL cictt_model VAL PT17 COL cictt_series VAL UNDESIGNATED SERIES COL cictt_name VAL KAYDET COL cictt_cert VAL A-743,COL make VAL B COL model VAL 75 COL series VAL PT17 COL cert VAL A743,1
7020,1585,COL cictt_make VAL MOONEY COL cictt_model VAL M10 COL cictt_series VAL NO SERIES EXISTS COL cictt_name VAL CADET COL cictt_cert VAL A-787,COL make VAL BBAVIA COL model VAL 8 COL series VAL GCBC COL name VAL SCOUT COL cert VAL A21CE,0
4980,2401,COL cictt_make VAL ENSTROM COL cictt_model VAL 280 COL cictt_series VAL C COL cictt_name VAL SHARK COL cictt_cert VAL H1CE,COL make VAL MS COL model VAL 760 COL series VAL B COL name VAL PARIS II COL cert VAL 7A3,0
4803,1826,COL cictt_make VAL DOUGLAS COL cictt_model VAL DC9 COL cictt_series VAL 31 COL cictt_name VAL No Popular Name COL cictt_cert VAL A6WE,COL make VAL DC COL model VAL 9 COL series VAL 31 COL cert VAL A6WE,1
68,8,COL cictt_make VAL AERO COMMANDER COL cictt_model VAL 100 COL cictt_series VAL 180 COL cictt_name VAL LARK COMMANDER COL cictt_cert VAL 1A21,COL make VAL ACMNDR COL model VAL 100 COL series VAL 180 COL name VAL LARK COL cert VAL 1A21,1
1816,1628,COL cictt_make VAL BOEING COL cictt_model VAL 727 COL cictt_series VAL 291 COL cictt_name VAL No Popular Name COL cictt_cert VAL A3WE,COL make VAL CV COL model VAL 240 COL series VAL 3 COL cert VAL A793,0
8901,C-212-CC,COL cictt_make VAL SWEARINGEN COL cictt_model VAL SA227 COL cictt_series VAL CC COL cictt_name VAL METRO 23 COL cictt_cert VAL A18SW,COL make VAL C COL model VAL 212 COL series VAL CC COL cert VAL A43EU,0
4985,1875,COL cictt_make VAL ENSTROM COL cictt_model VAL F28 COL cictt_series VAL A COL cictt_name VAL No Popular Name COL cictt_cert VAL H1CE,COL make VAL ENSTRM COL model VAL F28 COL series VAL A COL cert VAL H1CE,1
2140,895,COL cictt_make VAL BOEING COL cictt_model VAL 737 COL cictt_series VAL 45R COL cictt_name VAL No Popular Name COL cictt_cert VAL A16WE,COL make VAL B COL model VAL 737 COL series VAL 45R COL cert VAL A16WE,1
1929,801,COL cictt_make VAL BOEING COL cictt_model VAL 737 COL cictt_series VAL 228 COL cictt_name VAL No Popular Name COL cictt_cert VAL A16WE,COL make VAL B COL model VAL 737 COL series VAL 228 COL cert VAL A16WE,1
4327,1630,COL cictt_make VAL CONVAIR COL cictt_model VAL 240 COL cictt_series VAL 0 COL cictt_name VAL No Popular Name COL cictt_cert VAL A-219,COL make VAL CV COL model VAL 240 COL series VAL 0 COL cert VAL A793,1
9480,1550,COL cictt_make VAL WACO COL cictt_model VAL AGC COL cictt_series VAL 8 COL cictt_name VAL No Popular Name COL cictt_cert VAL TC 664,COL make VAL CE COL model VAL 206 COL series VAL U206A COL name VAL SUPER SKYWAGON COL cert VAL A4CE,0
6989,1350,COL cictt_make VAL MITSUBISHI COL cictt_model VAL MU2B COL cictt_series VAL 10 COL cictt_name VAL MARQUISE COL cictt_cert VAL NOT IDENTIFIED,COL make VAL CE COL model VAL 305 COL series VAL A COL name VAL BIRD DOG COL cert VAL 5A5,0
8780,2493,COL cictt_make VAL STINSON COL cictt_model VAL SR8 COL cictt_series VAL C COL cictt_name VAL RELIANT COL cictt_cert VAL ATC 608,COL make VAL PC COL model VAL 6 COL series VAL CH2 COL cert VAL 7A15,0
6868,2358,COL cictt_make VAL MEYERS COL cictt_model VAL MAC145 COL cictt_series VAL NO SERIES EXISTS COL cictt_name VAL No Popular Name COL cictt_cert VAL 3A1,COL make VAL MAC COL model VAL 145 COL series VAL 145 COL cert VAL 3A1,1
2803,1503,COL cictt_make VAL BOEING COL cictt_model VAL 767 COL cictt_series VAL 3W0 COL cictt_name VAL No Popular Name COL cictt_cert VAL A1NM,COL make VAL CE COL model VAL 172 COL series VAL R172H COL name VAL HAWK-XP COL cert VAL 3A17,0
6726,DHC-6-200,COL cictt_make VAL MAULE COL cictt_model VAL M5 COL cictt_series VAL 200 COL cictt_name VAL LUNAR ROCKET COL cictt_cert VAL 3A23,COL make VAL DHC COL model VAL 6 COL series VAL 200 COL name VAL TWIN OTTER COL cert VAL A9EA,0
6353,CE-208-A,COL cictt_make VAL LEARJET COL cictt_model VAL 36 COL cictt_series VAL A COL cictt_name VAL No Popular Name COL cictt_cert VAL A10CE,COL make VAL CE COL model VAL 208 COL series VAL A COL name VAL CARAVAN I COL cert VAL A37CE,0
2649,35,COL cictt_make VAL BOEING COL cictt_model VAL 757 COL cictt_series VAL 236 COL cictt_name VAL No Popular Name COL cictt_cert VAL A2NM,COL make VAL GA COL model VAL 695 COL series VAL A COL name VAL 1000 JETPROP COL cert VAL 2A4,0
1211,190,COL cictt_make VAL BEECH COL cictt_model VAL 35 COL cictt_series VAL A35 COL cictt_name VAL BONANZA COL cictt_cert VAL A-777,COL make VAL A COL model VAL 319 COL series VAL 131 COL cert VAL A28NM,0
2768,1965,COL cictt_make VAL BOEING COL cictt_model VAL 767 COL cictt_series VAL 33P COL cictt_name VAL No Popular Name COL cictt_cert VAL A1NM,COL make VAL F COL model VAL 28 COL series VAL MK2000 COL name VAL FELLOWSHIP COL cert VAL A20EU,0
7441,540,COL cictt_make VAL PILATUS COL cictt_model VAL PC6 COL cictt_series VAL UNDESIGNATED SERIES COL cictt_name VAL PORTER COL cictt_cert VAL F56-10,COL make VAL BHT COL model VAL 214 COL series VAL ST COL cert VAL H10SW,0
3664,PA-J4-J4,COL cictt_make VAL CESSNA COL cictt_model VAL 150 COL cictt_series VAL UNDESIGNATED SERIES COL cictt_name VAL COMMUTER COL cictt_cert VAL 3A19,COL make VAL PA COL model VAL J4 COL series VAL J4 COL name VAL CUB COUPE COL cert VAL A703,0
5912,CV-340-5800STC,COL cictt_make VAL IAI COL cictt_model VAL 1124 COL cictt_series VAL UNDESIGNATED SERIES COL cictt_name VAL WESTWIND I COL cictt_cert VAL A2IL,COL make VAL CV COL model VAL 340 COL series VAL 5800STC COL name VAL CONVAIR COL cert VAL SA6088NM,0
1873,776,COL cictt_make VAL BOEING COL cictt_model VAL 727 COL cictt_series VAL 31C COL cictt_name VAL No Popular Name COL cictt_cert VAL A3WE,COL make VAL B COL model VAL 727 COL series VAL 31C COL cert VAL A3WE,1
9526,1014,COL cictt_make VAL WACO COL cictt_model VAL UEC COL cictt_series VAL NO SERIES EXISTS COL cictt_name VAL No Popular Name COL cictt_cert VAL ATC 467,COL make VAL B COL model VAL 747 COL series VAL 246F COL name VAL FREIGHTER COL cert VAL A20WE,0
9547,DC-7-7,COL cictt_make VAL WACO COL cictt_model VAL YPF COL cictt_series VAL UNDESIGNATED SERIES COL cictt_name VAL No Popular Name COL cictt_cert VAL ATC 586,COL make VAL DC COL model VAL 7 COL series VAL 7 COL cert VAL 4A10,0
1463,565,COL cictt_make VAL BELL COL cictt_model VAL 47G COL cictt_series VAL 3B2A COL cictt_name VAL No Popular Name COL cictt_cert VAL 2H3,COL make VAL BHT COL model VAL 47 COL series VAL G3B2A COL cert VAL 2H3,1
8961,BHT-206-B,COL cictt_make VAL TAYLORCRAFT COL cictt_model VAL L2 COL cictt_series VAL B COL cictt_name VAL No Popular Name COL cictt_cert VAL A-746,COL make VAL BHT COL model VAL 206 COL series VAL B COL cert VAL H2SW,0
3039,BHT-47-G3,COL cictt_make VAL BRITTEN NORMAN COL cictt_model VAL BN2A COL cictt_series VAL 3 COL cictt_name VAL ISLANDER COL cictt_cert VAL UK.TC.A.00042,COL make VAL BHT COL model VAL 47 COL series VAL G3 COL cert VAL 2H3,0
3573,2064,COL cictt_make VAL CANADAIR COL cictt_model VAL CL215 6B11 COL cictt_series VAL 215T COL cictt_name VAL SCOOPER COL cictt_cert VAL A-86,COL make VAL AIRCRN COL model VAL HU16 COL series VAL A COL name VAL ALBATROSS COL cert VAL A33SO,0
4669,1797,COL cictt_make VAL DORNIER COL cictt_model VAL 328 COL cictt_series VAL 300 COL cictt_name VAL ENVOY 3 COL cictt_cert VAL EASA.A.096,COL make VAL DC COL model VAL 7 COL series VAL B COL cert VAL 4A10,0
6836,2312,COL cictt_make VAL MCDONNELL DOUGLAS COL cictt_model VAL MD88 COL cictt_series VAL NO SERIES EXISTS COL cictt_name VAL No Popular Name COL cictt_cert VAL A6WE,COL make VAL M COL model VAL 5 COL series VAL 210TC COL cert VAL 3A23,0
7568,PA-28R-201T,COL cictt_make VAL PIPER COL cictt_model VAL PA28 COL cictt_series VAL 201T COL cictt_name VAL TURBO DAKOTA COL cictt_cert VAL 2A13,COL make VAL PA COL model VAL 28R COL series VAL 201T COL name VAL TURBO ARROW III COL cert VAL 2A13,0
2951,BD-500-1A11,COL cictt_make VAL BOMBARDIER COL cictt_model VAL BD700 COL cictt_series VAL 1A11 COL cictt_name VAL GLOBAL 5000 COL cictt_cert VAL A-177,COL make VAL BD COL model VAL 500 COL series VAL 1A11 COL cert VAL T00008NY,0
243,TCRAFT-22-F22C,COL cictt_make VAL AEROSPATIALE COL cictt_model VAL SA365 COL cictt_series VAL C COL cictt_name VAL DAUPHIN 2 COL cictt_cert VAL NOT CERTIFICATED,COL make VAL TCRAFT COL model VAL 22 COL series VAL F22C COL cert VAL 1A9,0
21928,60,COL cictt_make VAL CHAMPION COL cictt_model VAL 7CCM COL cictt_series VAL NO SERIES EXISTS COL cictt_name VAL CHAMPION COL cictt_cert VAL A-759,COL make VAL BL COL model VAL 7 COL series VAL CCM COL cert VAL A759,1
21392,3522,COL cictt_make VAL BELL COL cictt_model VAL UH1 COL cictt_series VAL F COL cictt_name VAL IROQUOIS COL cictt_cert VAL H7NE,COL make VAL WIA COL model VAL TH COL series VAL 1F COL name VAL BELL204 COL cert VAL H12NM,1
365,COMWTH-185-185,COL cictt_make VAL AIR TRACTOR COL cictt_model VAL AT501 COL cictt_series VAL NO SERIES EXISTS COL cictt_name VAL No Popular Name COL cictt_cert VAL A17SW,COL make VAL COMWTH COL model VAL 185 COL series VAL 185 COL cert VAL A729,0
11882,2998,COL cictt_make VAL CESSNA COL cictt_model VAL 700 COL cictt_series VAL NO SERIES EXISTS COL cictt_name VAL CITATION LONGITUDE COL cictt_cert VAL T00015WI,COL make VAL TCRAFT COL model VAL 22 COL series VAL F22A COL cert VAL 1A9,0
3747,3214,COL cictt_make VAL CESSNA COL cictt_model VAL 208 COL cictt_series VAL B COL cictt_name VAL CARAVAN COL cictt_cert VAL A37CE,COL make VAL T COL model VAL 11 COL series VAL 211 COL cert VAL A791,0
8956,3000,COL cictt_make VAL TAYLORCRAFT COL cictt_model VAL F22 COL cictt_series VAL C COL cictt_name VAL No Popular Name COL cictt_cert VAL 1A9,COL make VAL TCRAFT COL model VAL 22 COL series VAL F22C COL cert VAL 1A9,1
8622,342,COL cictt_make VAL SOCATA COL cictt_model VAL TB21 COL cictt_series VAL NO SERIES EXISTS COL cictt_name VAL TRINIDAD TURBOCHARGE COL cictt_cert VAL EASA.A.378,COL make VAL BE COL model VAL 18 COL series VAL 3TM COL name VAL TWIN BEECH COL cert VAL A765,0
