left_id,right_id,left,right,label
B-777-F,5170317,COL make VAL B COL model VAL 777 COL series VAL F,COL mfr VAL GATES LEAR JET COL model VAL 24F,0
D-1190-S,0120102,COL make VAL D COL model VAL 1190 COL series VAL S,COL mfr VAL AERODIFUSION  S L COL model VAL JODEL D-1190S,1
EMB-120-FC,3260201,COL make VAL EMB COL model VAL 120 COL series VAL FC,COL mfr VAL EMBRAER COL model VAL EMB-120,0
CE-421-B,2076014,COL make VAL CE COL model VAL 421 COL series VAL B COL name VAL GOLDEN EAGLE,COL mfr VAL CESSNA COL model VAL 421B,1
EMB-110-P1,3260124,COL make VAL EMB COL model VAL 110 COL series VAL P1 COL name VAL BANDEIRANTE,COL mfr VAL EMBRAER COL model VAL EMB-110P2,0
B-767-223,1385204,COL make VAL B COL model VAL 767 COL series VAL 223,COL mfr VAL BOEING COL model VAL 767-300,0
B-720-030B,0563277,COL make VAL B COL model VAL 720 COL series VAL 030B,COL mfr VAL CIRRUS DESIGN CORPORATION COL model VAL SF50,0
B-737-7BH,0740151,COL make VAL B COL model VAL 737 COL series VAL 7BH,COL mfr VAL ANDERSON GREENWOOD COL model VAL 51,0
B-727-231,1384079,COL make VAL B COL model VAL 727 COL series VAL 231,COL mfr VAL BOEING COL model VAL 727-231,1
CE-310-J,2074234,COL make VAL CE COL model VAL 310 COL series VAL J,COL mfr VAL CESSNA COL model VAL 310N,0
B-727-116,1384043,COL make VAL B COL model VAL 727 COL series VAL 116,COL mfr VAL BOEING COL model VAL 727-116,1
BE-18-TC45H,21101NM,COL make VAL BE COL model VAL 18 COL series VAL TC45H COL name VAL TWIN BEECH,COL mfr VAL CHAMPION COL model VAL 7EC,0
CE-207-T207,2073602,COL make VAL CE COL model VAL 207 COL series VAL T207 COL name VAL TURBO SKYWAGON,COL mfr VAL CESSNA COL model VAL 207,0
BE-200-C12C,13844AU,COL make VAL BE COL model VAL 200 COL series VAL C12C COL name VAL SUPER KING AIR,COL mfr VAL BOEING COL model VAL 737-282C,0
CE-310-Q,2071604,COL make VAL CE COL model VAL 310 COL series VAL Q,COL mfr VAL CESSNA COL model VAL 140A,0
BAC-111-416EK,1480210,COL make VAL BAC COL model VAL 111 COL series VAL 416EK COL name VAL BAC 111,COL mfr VAL BRITISH AIRCRAFT CORP COL model VAL BAC 1-11 204/AF,0
SK-61-D,814210L,COL make VAL SK COL model VAL 61 COL series VAL D,COL mfr VAL SIKORSKY COL model VAL S-61D,1
BE-19-B,1151215,COL make VAL BE COL model VAL 19 COL series VAL B COL name VAL MUSKETEER II,COL mfr VAL BEECH COL model VAL B19,1
C-212-CC,2410200,COL make VAL C COL model VAL 212 COL series VAL CC,COL mfr VAL CONSTRUCCIONES AERONAUTICAS SA COL model VAL 212-200,0
GA-112-B,7630306,COL make VAL GA COL model VAL 112 COL series VAL B,COL mfr VAL ROCKWELL INTERNATIONAL COL model VAL 112TC,0
GA-112-B,8630904,COL make VAL GA COL model VAL 112 COL series VAL B,COL mfr VAL STINSON COL model VAL SM-6000-B,0
BV-107-2,1660304,COL make VAL BV COL model VAL 107 COL series VAL 2,COL mfr VAL BURKHART GROB COL model VAL GROB G115D,0
CE-206-P206E,2073310,COL make VAL CE COL model VAL 206 COL series VAL P206E COL name VAL SUPER SKYLANE,COL mfr VAL CESSNA COL model VAL TP206A,0
AMD-50-50EX,2730011,COL make VAL AMD COL model VAL 50 COL series VAL 50EX,COL mfr VAL DASSAULT COL model VAL FALCON 50EX,1
PA-28RT-201,7102817,COL make VAL PA COL model VAL 28RT COL series VAL 201 COL name VAL ARROW IV,COL mfr VAL PIPER COL model VAL PA-28RT-201T,0
T-6-SNJ4,6400414,COL make VAL T COL model VAL 6 COL series VAL SNJ4,COL mfr VAL NORTH AMERICAN COL model VAL SNJ-4,1
B-737-4B7,138449C,COL make VAL B COL model VAL 737 COL series VAL 4B7,COL mfr VAL BOEING COL model VAL 737-4B7,1
B-737-330,13844B8,COL make VAL B COL model VAL 737 COL series VAL 330,COL mfr VAL BOEING COL model VAL 737-800A,0
B-737-683,13844CG,COL make VAL B COL model VAL 737 COL series VAL 683,COL mfr VAL BOEING COL model VAL 737-683,1
CV-240-26,2422640,COL make VAL CV COL model VAL 240 COL series VAL 26,COL mfr VAL CONVAIR COL model VAL 240-26,1
CALAIR-A-A,1850106,COL make VAL CALAIR COL model VAL A COL series VAL A,COL mfr VAL CALLAIR COL model VAL A-3,0
B-737-990,5870252,COL make VAL B COL model VAL 737 COL series VAL 990,COL mfr VAL MOONEY INTERNATIONAL CORP COL model VAL M20V,0
