left_id,right_id,left,right,label
BEECH 99,NA B25,COL make VAL BEECH COL model VAL 99 COL series VAL 99 C99 A B99 A99 COL name VAL AIRLINER COL cert VAL A14CE COL code VAL BE99,COL model VAL B25 COL series VAL TB25 COL cert VAL AL2,0
DOUGLAS B23,DC B23,COL make VAL DOUGLAS COL model VAL B23 COL series VAL B23 COL name VAL DRAGON COL cert VAL TC 2-576 COL code VAL B23,COL make VAL DC COL model VAL B23 COL series VAL B23 COL cert VAL 2576,1
WACO ARE,EC 130T2,COL make VAL WACO COL model VAL ARE COL series VAL ARE COL name VAL ARISTOCRAT COL cert VAL TC 714 COL code VAL WACE,COL make VAL EC COL model VAL 130T2 COL series VAL 130T2 COL cert VAL H9EU,0
BRITTEN NORMAN BN2A,PA 34,COL make VAL BRITTEN NORMAN COL model VAL BN2A COL series VAL III2 III III3 COL name VAL TRISLANDER COL cert VAL UK.TC.A.00043 COL code VAL TRIS,COL make VAL PA COL model VAL 34 COL series VAL 200T 220T 200 COL name VAL SENECA II SENECA III SENECA COL cert VAL A7SO,0
BEECH JU21,WACO CSO,COL make VAL BEECH COL model VAL JU21 COL series VAL A COL name VAL UTE COL cert VAL 3A20 COL code VAL U21,COL make VAL WACO COL model VAL CSO COL series VAL CSO COL cert VAL ATC240,0
GRUMMAN S2,AT 602,COL make VAL GRUMMAN COL model VAL S2 COL series VAL F3T COL name VAL TURBO TRACKER COL cert VAL A51NM COL code VAL S2T,COL make VAL AT COL model VAL 602 COL series VAL 602 COL cert VAL A19SW,0
CHAMPION 7CCM,GA 1159,COL make VAL CHAMPION COL model VAL 7CCM COL series VAL 7CCM COL name VAL CHAMPION COL cert VAL A-759 COL code VAL CH7A,COL make VAL GA COL model VAL 1159 COL series VAL IV COL name VAL G-IV COL cert VAL A12EA,0
CHAMPION 7GCBC,DC A24,COL make VAL CHAMPION COL model VAL 7GCBC COL series VAL 7GCBC COL name VAL CITABRIA EXPLORER COL cert VAL A-759 COL code VAL CH7B,COL make VAL DC COL model VAL A24 COL series VAL A B COL cert VAL AR8 L43,0
SIKORSKY CH19,REIMS FA150,COL make VAL SIKORSKY COL model VAL CH19 COL series VAL CH19 E COL name VAL CHICKASAW COL cert VAL HR1SO COL code VAL S55P,COL make VAL REIMS COL model VAL FA150 COL series VAL K L COL cert VAL A13EU,0
BELL P63,MORAVN Z143L,COL make VAL BELL COL model VAL P63 COL series VAL E COL name VAL KINGCOBRA COL cert VAL LTC-21 COL code VAL P63,COL make VAL MORAVN COL model VAL Z143L COL series VAL Z143L COL cert VAL A76EU,0
DIAMOND DA62,BE 58,COL make VAL DIAMOND COL model VAL DA62 COL series VAL DA62 COL cert VAL A-273 COL code VAL DA62,COL make VAL BE COL model VAL 58 COL series VAL 58 P PA TC TCA COL name VAL BARON PRESSURIZED BARON TURBOCHARGED BARON COL cert VAL 3A16 A23CE,0
GRUMMAN F8F,CE 177,COL make VAL GRUMMAN COL model VAL F8F COL series VAL 1 2 COL name VAL BEARCAT COL cert VAL LTC-23 AR-32 COL code VAL BCAT,COL make VAL CE COL model VAL 177 COL series VAL 177 A B COL name VAL CARDINAL COL cert VAL A13CE,0
DE HAVILLAND DH114,FRCHLD KR31,COL make VAL DE HAVILLAND COL model VAL DH114 COL series VAL DH114 COL name VAL HERON COL cert VAL NOT CERTIFICATED COL code VAL HERN,COL make VAL FRCHLD COL model VAL KR31 COL series VAL A KR31 COL cert VAL 2510 ATC19,0
BELL 206,BHT 206,COL make VAL BELL COL model VAL 206 COL series VAL B L3 L4 L1 206 L A B1 A1 COL name VAL JET RANGER II LONG RANGER III LONG RANGER IV LONG RANGER II LONG RANGER JET RANGER COL cert VAL H-92 COL code VAL B06,COL make VAL BHT COL model VAL 206 COL series VAL B L3 L4 L1 206 L A B1 A1 COL cert VAL H2SW,1
PIPER PA32R,EC 120,COL make VAL PIPER COL model VAL PA32R COL series VAL 301 300 301T COL name VAL SARATOGA II TC LANCE COL cert VAL A3SO COL code VAL P32R,COL make VAL EC COL model VAL 120 COL series VAL B COL name VAL COLIBRI COL cert VAL R0001RD,0
GRUMMAN AA5,LR 29,COL make VAL GRUMMAN COL model VAL AA5 COL series VAL B COL name VAL TIGER COL cert VAL A16EA COL code VAL AA5,COL make VAL LR COL model VAL 29 COL series VAL 29 COL cert VAL A10CE5,0
TRAVEL AIR TRAVEL AIR B9 4000,LENRDO AW169,COL make VAL TRAVEL AIR COL model VAL TRAVEL AIR B9 4000 COL series VAL TRAVEL AIR B9 4000 COL cert VAL TC 2-381 COL code VAL TVL4,COL make VAL LENRDO COL model VAL AW169 COL series VAL 169 COL cert VAL R00007RD,0
SIKORSKY CH54,CE 305,COL make VAL SIKORSKY COL model VAL CH54 COL series VAL A B COL name VAL SKYCRANE TARHE COL cert VAL H18NM H14NM COL code VAL S58P/S64,COL make VAL CE COL model VAL 305 COL series VAL A B C D E F COL name VAL BIRD DOG COL cert VAL 5A5 3A14,0
TAYLORCRAFT 19,M 4,COL make VAL TAYLORCRAFT COL model VAL 19 COL series VAL 19 COL name VAL SPORTSMAN COL cert VAL 1A9 COL code VAL TF19,COL make VAL M COL model VAL 4 COL series VAL 180C 210 210C 210S 220C 4 BEEDEE C S T COL name VAL ROCKET COL cert VAL 3A23,0
AERO COMMANDER 690,CURTIS TRVAIR,COL make VAL AERO COMMANDER COL model VAL 690 COL series VAL C D 690 COL name VAL JETPROP 840 JETPROP 900 COMMANDER 690 COL cert VAL 2A4 COL code VAL AC90,COL make VAL CURTIS COL model VAL TRVAIR COL series VAL K4000 COL name VAL TRAVEL AIR COL cert VAL ATC205,0
CESSNA FRA150,CP 65,COL make VAL CESSNA COL model VAL FRA150 COL series VAL L M COL name VAL AEROBAT COL cert VAL A13EU COL code VAL C150,COL make VAL CP COL model VAL 65 COL series VAL LP65 COL name VAL PORTERFIELD COL cert VAL A720,0
BOEING 40,BE 23,COL make VAL BOEING COL model VAL 40 COL series VAL C COL cert VAL NOT CERTIFICATED COL code VAL BO40,COL make VAL BE COL model VAL 23 COL series VAL A24R C24R A2324 A24 B24R COL name VAL SIERRA 200 MUSKETEER II COL cert VAL A1CE,0
AERONCA L3,AR 65,COL make VAL AERONCA COL model VAL L3 COL series VAL L3 COL name VAL GRASSHOPPER COL cert VAL A-728 COL code VAL AR6T,COL make VAL AR COL model VAL 65 COL series VAL L3 COL cert VAL A728,1
HILLER UH12,ARROWF OH,COL make VAL HILLER COL model VAL UH12 COL series VAL E D C A B EL L L4 COL cert VAL 4H10 6H2 6H1 4H11 H1WE COL code VAL UH12,COL make VAL ARROWF COL model VAL OH COL series VAL 58C 58A 58A+ COL cert VAL H22NM,0
SPARTAN 7W,NAVION NAVION,COL make VAL SPARTAN COL model VAL 7W COL series VAL 7W COL name VAL EXECUTIVE COL cert VAL TC 628 COL code VAL SP7,COL make VAL NAVION COL model VAL NAVION COL series VAL L17A COL cert VAL A782,0
AYRES S2R,EAA 90,COL make VAL AYRES COL model VAL S2R COL series VAL T660 T65 COL name VAL THRUSH 660 THRUSH 550 COL cert VAL A4SW COL code VAL A660/SS2T,COL make VAL EAA COL model VAL 90 COL series VAL 90 COL cert VAL A306,0
PIPER PA34,DO 28,COL make VAL PIPER COL model VAL PA34 COL series VAL 200T 200 COL name VAL SENECA II SENECA COL cert VAL A7SO COL code VAL PA34,COL make VAL DO COL model VAL 28 COL series VAL B1 COL cert VAL 7A13,0
WACO ZVN,CE 441,COL make VAL WACO COL model VAL ZVN COL series VAL 8 COL cert VAL TC 677 COL code VAL WACN,COL make VAL CE COL model VAL 441 COL series VAL 441 COL name VAL CONQUEST II COL cert VAL A28CE,0
WACO VKS,BUEHN HU16,COL make VAL WACO COL model VAL VKS COL series VAL 7 7F COL cert VAL ATC 648 COL code VAL WACC,COL make VAL BUEHN COL model VAL HU16 COL series VAL C COL cert VAL A23NM,0
EMBRAER EMB145,CE 337,COL make VAL EMBRAER COL model VAL EMB145 COL series VAL LR XR EP EMB145 MP COL name VAL ERJ145LR ERJ145XR ERJ145EP ERJ145 ERJ145MP COL cert VAL EA-9606 COL code VAL E145/E45X,COL make VAL CE COL model VAL 337 COL series VAL O2A O2B COL cert VAL A6CE,0
LANCAIR LC42,CURTIS TRVAIR,COL make VAL LANCAIR COL model VAL LC42 COL series VAL 550FG COL name VAL COLUMBIA 350 COL cert VAL A00003SE COL code VAL COL3,COL make VAL CURTIS COL model VAL TRVAIR COL series VAL 4000 COL name VAL TRAVEL AIR COL cert VAL ATC32,0
HAWKER HAWKER 850,CE 310,COL make VAL HAWKER COL model VAL HAWKER 850 COL series VAL XP COL cert VAL A3EU COL code VAL H25B,COL make VAL CE COL model VAL 310 COL series VAL R Q 310 A B C D E F G H I J K L N P T310P COL name VAL TURBO-SYSTEM 310P COL cert VAL 3A10,0
GRUMMAN G1159,SW204 UH1B,COL make VAL GRUMMAN COL model VAL G1159 COL series VAL G1159 COL name VAL GULFSTREAM II COL cert VAL A12EA COL code VAL GLF2,COL make VAL SW204 COL model VAL UH1B COL series VAL UH1B COL name VAL UH1B COL cert VAL H6SO,0
KAMAN K1200,GA 1159,COL make VAL KAMAN COL model VAL K1200 COL series VAL K1200 COL name VAL K-MAX COL cert VAL TR7BO COL code VAL KMAX,COL make VAL GA COL model VAL 1159 COL series VAL 1159 COL name VAL G-II COL cert VAL A12EA,0
